Effective Date,Local Code,Name (English),Section/Products,33 Sector(Code),33 Sector(name),17 Sector(Code),17 Sector(name),Size Code (New Index Series),Size (New Index Series),Ticker
20260228,1866,KITANO CONSTRUCTION CORP.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1866.T
20260228,1867,UEKI CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1867.T
20260228,186A,Astroscale Holdings Inc.,Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,186A.T
20260228,1897,"The Kaneshita Construction Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1897.T
20260228,189A,"D&M COMPANY CO.,LTD",Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,189A.T
20260228,1904,"TAISEI ONCHO CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1904.T
20260228,1905,TENOX CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1905.T
20260228,1909,"Nippon Dry-Chemical CO.,LTD.",Standard Market(Domestic),3600,Machinery,8,MACHINERY,-,-,1909.T
20260228,190A,Chordia Therapeutics Inc.,Growth Market(Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL,-,-,190A.T
20260228,1914,"JAPAN FOUNDATION ENGINEERING CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1914.T
20260228,1921,TOMOE CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1921.T
20260228,192A,Integroup Inc.,Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,192A.T
20260228,1948,"The Kodensha,Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1948.T
20260228,194A,"WOLVES HAND Co.,Ltd.",Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,194A.T
20260228,195A,MUSCAT GROUP Inc.,Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,195A.T
20260228,1960,Sanyo Engineering & Construction Inc.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1960.T
20260228,1965,TECHNO RYOWA LTD.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1965.T
20260228,1966,TAKADA CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1966.T
20260228,1967,YAMATO CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1967.T
20260228,196A,"MFS,Inc.",Growth Market(Domestic),7200,Other Financing Business,16,FINANCIALS (EX BANKS),-,-,196A.T
20260228,1972,"SANKO METAL INDUSTRIAL CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1972.T
20260228,197A,"TAUNS Laboratories,Inc.",Standard Market(Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL,-,-,197A.T
20260228,1981,"KYOWANISSEI CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1981.T
20260228,198A,PostPrime Inc.,Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,198A.T
20260228,1992,"KANDA TSUSHINKI CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1992.T
20260228,1994,TAKAHASHI CURTAIN WALL CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1994.T
20260228,1997,"AKATSUKI EAZIMA CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1997.T
20260228,2003,"NITTO FUJI FLOUR MILLING CO.,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,7,TOPIX Small 2,2003.T
20260228,2009,"THE TORIGOE CO.,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2009.T
20260228,202A,"MAMEZO CO.,LTD.",Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,202A.T
20260228,2055,"NICHIWA SANGYO CO.,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2055.T
20260228,205A,LOGOS HOLDINGS INC.,Growth Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,205A.T
20260228,206A,"PRISM BioLab Co.,LTD",Growth Market(Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL,-,-,206A.T
20260228,208A,KOZO KEIKAKU ENGINEERING HOLDINGS Inc.,Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,208A.T
20260228,2112,"Ensuiko Sugar Refining Co.,Ltd.",Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2112.T
20260228,2114,Fuji Nihon Corporation,Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2114.T
20260228,211A,Cados Corporation,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,211A.T
20260228,2122,"Interspace Co.,Ltd.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2122.T
20260228,2134,"Kitahama Capital Partners Co.,Ltd.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2134.T
20260228,2136,HIP CORPORATION,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2136.T
20260228,2138,"CROOZ,Inc.",Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2138.T
20260228,2139,"CHUCO CO.,LTD.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2139.T
20260228,2152,Youji Corporation,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2152.T
20260228,2156,SAYLOR ADVERTISING INC.,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2156.T
20260228,2158,"FRONTEO,Inc.",Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2158.T
20260228,215A,"Timee,Inc.",Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,215A.T
20260228,2160,GNI Group Ltd.,Growth Market(Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL,-,-,2160.T
20260228,2162,nms Holdings Corporation,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2162.T
20260228,2164,"CHIIKISHINBUNSHA CO.,LTD.",Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2164.T
20260228,2169,"CDS Co.,Ltd.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2169.T
20260228,2173,Hakuten Corporation,Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2173.T
20260228,2179,"SEIGAKUSHA CO.,LTD.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2179.T
20260228,2180,SUNNY SIDE UP GROUP Inc.,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2180.T
20260228,2183,"Linical Co.,Ltd.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2183.T
20260228,2185,CMC CORPORATION,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2185.T
20260228,2186,Sobal Corporation,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2186.T
20260228,218A,"Liberaware Co.,Ltd.",Growth Market(Domestic),3750,Precision Instruments,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,-,-,218A.T
20260228,2193,Cookpad Inc.,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",7,TOPIX Small 2,2193.T
20260228,2195,"AMITA HOLDINGS CO.,LTD.",Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2195.T
20260228,2196,ESCRIT INC.,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2196.T
20260228,219A,Heartseed Inc.,Growth Market(Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL,-,-,219A.T
20260228,2204,"NAKAMURAYA CO.,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,7,TOPIX Small 2,2204.T
20260228,2208,BOURBON CORPORATION,Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2208.T
20260228,220A,Faber Company Inc.,Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,220A.T
20260228,2215,"FIRST BAKING CO.,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2215.T
20260228,2216,Kanro Inc.,Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2216.T
20260228,2221,"IWATSUKA CONFECTIONERY CO.,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2221.T
20260228,2224,"COMO CO.,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2224.T
20260228,2226,KOIKE-YA Inc.,Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2226.T
20260228,2268,"B-R 31 ICE CREAM CO.,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2268.T
20260228,2286,"Hayashikane Sangyo Co.,Ltd.",Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2286.T
20260228,228A,"OPRO Co.,Ltd.",Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,228A.T
20260228,2291,"FUKUTOME MEAT PACKERS,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2291.T
20260228,2293,"TAKIZAWA HAM CO.,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,-,-,2293.T
20260228,2300,"Kyokuto Co.,Ltd.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2300.T
20260228,2303,Dawn Corporation,Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2303.T
20260228,2304,"CSS HOLDINGS,LTD.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2304.T
20260228,2305,"STUDIO ALICE Co.,Ltd.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",7,TOPIX Small 2,2305.T
20260228,2311,"EPCO Co.,Ltd.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2311.T
20260228,2315,CAICA DIGITAL Inc.,Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2315.T
20260228,2321,Softfront Holdings,Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2321.T
20260228,2323,fonfun corporation,Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2323.T
20260228,2329,TOHOKUSHINSHA FILM CORPORATION,Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2329.T
20260228,2330,"Forside Co.,Ltd.",Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2330.T
20260228,2332,"Quest Co.,Ltd.",Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2332.T
20260228,2334,eole Inc.,Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2334.T
20260228,2338,"Quantum Solutions Co.,Ltd.",Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2338.T
20260228,2340,"GOKURAKUYU HOLDINGS CO.,LTD.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2340.T
20260228,2341,"ARBEIT-TIMES CO.,LTD.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2341.T
20260228,2342,TRANSGENIC GROUP INC.,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2342.T
20260228,2344,"HEIAN CEREMONY SERVICE CO.,LTD.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2344.T
20260228,2345,"HODL1,inc.",Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2345.T
20260228,2349,"Nippon Information Development Co.,Ltd.",Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2349.T
20260228,2351,ASJ INC.,Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2351.T
20260228,2354,YE DIGITAL Corporation,Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2354.T
20260228,2370,"MEDINET Co.,Ltd.",Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2370.T
20260228,2373,CARE TWENTYONE CORPORATION,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2373.T
20260228,2375,GiG Works Inc.,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2375.T
20260228,2376,SCINEX CORPORATION,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2376.T
20260228,2385,Soiken Holdings Inc.,Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2385.T
20260228,2388,"Wedge Holdings CO.,LTD.",Growth Market(Domestic),7200,Other Financing Business,16,FINANCIALS (EX BANKS),-,-,2388.T
20260228,2391,"PLANET,INC.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2391.T
20260228,2393,"Nippon Care Supply Co.,Ltd.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2393.T
20260228,2404,"TETSUJIN Holdings,Inc.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2404.T
20260228,2408,"KG Intelligence CO.,LTD.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2408.T
20260228,2411,GENDAI AGENCY INC.,Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,2411.T
20260228,2415,"Human Holdings Co.,Ltd.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2415.T
20260228,2418,TSUKADA GLOBAL HOLDINGS Inc.,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2418.T
20260228,241A,"ROXX,inc.",Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,241A.T
20260228,2424,Brass Corporation,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2424.T
20260228,2425,"Care Service Co.,Ltd.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2425.T
20260228,2428,WELLNET CORPORATION,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2428.T
20260228,2435,"CEDAR.Co.,Ltd",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2435.T
20260228,2436,"KYODO PUBLIC RELATIONS CO.,LTD.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2436.T
20260228,2437,"SHINWA WISE HOLDINGS CO.,LTD.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2437.T
20260228,2438,"Asukanet Company,Limited",Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2438.T
20260228,2440,"Gurunavi,Inc.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",7,TOPIX Small 2,2440.T
20260228,2449,"PRAP Japan,Inc.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2449.T
20260228,244A,"Growth xPartners,Inc.",Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,244A.T
20260228,2454,"All About,Inc.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2454.T
20260228,2459,"AUN CONSULTING,Inc.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,2459.T
20260228,245A,INGS inc.,Growth Market(Domestic),6100,Retail Trade,14,RETAIL TRADE,-,-,245A.T
